tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
5000,120,118,510.74074074074076,516.0188679245283,0.3055555555555556,0.3113207547169811,500,Infinity,-1,0.00847457627118644,-1,118,0,1,NaN,NaN,NaN,NaN,NaN,NaN,515.7954545454545,506.85714285714283,515.6944444444445,0.2727272727272727,0.25,0.3888888888888889
10000,119,114,491.88235294117646,508.3421052631579,0.3025210084033613,0.2807017543859649,500,Infinity,-1,0,-1,114,0,1,NaN,NaN,NaN,NaN,NaN,NaN,486.55,513.3111111111111,479.29411764705884,0.275,0.35555555555555557,0.2647058823529412
15000,119,113,480.4710743801653,500.2173913043478,0.3140495867768595,0.28695652173913044,500,Infinity,-1,0,-1,113,0,1,NaN,NaN,NaN,NaN,NaN,NaN,473.3863636363636,502.97727272727275,470.09090909090907,0.3409090909090909,0.3181818181818182,0.2727272727272727
20000,119,115,494.35593220338984,506.50877192982455,0.3389830508474576,0.3333333333333333,500,Infinity,-1,0.008695652173913044,-1,115,0,1,NaN,NaN,NaN,NaN,NaN,NaN,496.475,491.6666666666667,503.1025641025641,0.375,0.3333333333333333,0.3076923076923077
25000,119,110,469.3333333333333,501.64864864864865,0.35,0.2972972972972973,500,Infinity,-1,0,-1,110,0,1,NaN,NaN,NaN,NaN,NaN,NaN,459.93617021276594,478.39473684210526,481.54285714285714,0.44680851063829785,0.2631578947368421,0.3142857142857143
30000,119,110,476.46610169491527,510.1559633027523,0.3474576271186441,0.29357798165137616,500,Infinity,-1,0,-1,110,0,1,NaN,NaN,NaN,NaN,NaN,NaN,461.64102564102564,475.6046511627907,502.72222222222223,0.3076923076923077,0.4418604651162791,0.2777777777777778
35000,119,104,445.1344537815126,503.7692307692308,0.2689075630252101,0.17307692307692307,500,Infinity,-1,0,-1,104,0,1,NaN,NaN,NaN,NaN,NaN,NaN,405.2093023255814,485.175,457.72222222222223,0.3953488372093023,0.125,0.2777777777777778
40000,120,110,465.53333333333336,501.72727272727275,0.375,0.3181818181818182,500,Infinity,-1,0.00909090909090909,-1,110,0,1,NaN,NaN,NaN,NaN,NaN,NaN,491.0810810810811,457.72972972972974,458.45652173913044,0.3783783783783784,0.40540540540540543,0.34782608695652173
45000,119,105,452.0504201680672,506.7047619047619,0.33613445378151263,0.26666666666666666,500,Infinity,-1,0,-1,105,0,1,NaN,NaN,NaN,NaN,NaN,NaN,423.3421052631579,500.65,439.3658536585366,0.3684210526315789,0.3,0.34146341463414637
50000,119,104,446.8666666666667,504.8095238095238,0.45,0.38095238095238093,500,Infinity,-1,0,-1,104,0,1,NaN,NaN,NaN,NaN,NaN,NaN,446.6170212765957,489.8974358974359,407.44117647058823,0.2978723404255319,0.4358974358974359,0.6764705882352942
55000,119,99,431.63247863247864,515.0618556701031,0.3333333333333333,0.21649484536082475,500,Infinity,-1,0,-1,99,0,1,NaN,NaN,NaN,NaN,NaN,NaN,387.43589743589746,442.8787878787879,469,0.4358974358974359,0.3333333333333333,0.24444444444444444
60000,119,99,431.31404958677683,510.4257425742574,0.3884297520661157,0.26732673267326734,500,Infinity,-1,0,-1,99,0,1,NaN,NaN,NaN,NaN,NaN,NaN,424.5263157894737,397.9189189189189,471.0652173913044,0.3684210526315789,0.4594594594594595,0.34782608695652173
