tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
5000,345,344,604.3509933774834,657.2080536912752,0.019867549668874173,0.08389261744966443,500,Infinity,-1,0.561046511627907,-1,344,0,1,NaN,NaN,NaN,NaN,NaN,NaN,563.6538461538462,612.83,647.7448979591836,0,0.01,0.05102040816326531
10000,344,345,604.7333333333333,655.063768115942,0.017391304347826087,0.06086956521739131,500,Infinity,-1,0.5478260869565217,-1,345,0,1,NaN,NaN,NaN,NaN,NaN,NaN,563.9666666666667,612.1616161616162,645.531746031746,0,0,0.047619047619047616
15000,344,344,605.304347826087,658.5333333333333,0.014492753623188406,0.06086956521739131,500,Infinity,-1,0.48546511627906974,-1,344,0,1,NaN,NaN,NaN,NaN,NaN,NaN,563.8518518518518,612.203125,647.2752293577981,0,0,0.045871559633027525
20000,344,344,603.4273255813954,662.6286549707602,0.011627906976744186,0.07894736842105263,500,Infinity,-1,0.5145348837209303,-1,344,0,1,NaN,NaN,NaN,NaN,NaN,NaN,563.9596774193549,611.8623853211009,647.990990990991,0,0,0.036036036036036036
25000,344,344,607.2398843930636,658.4553314121038,0.017341040462427744,0.06628242074927954,500,Infinity,-1,0.4941860465116279,-1,344,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,611.6825396825396,649.008547008547,0,0.015873015873015872,0.03418803418803419
30000,344,344,602.2944606413994,653.9563953488372,0.023323615160349854,0.05813953488372093,500,Infinity,-1,0.5348837209302325,-1,344,0,1,NaN,NaN,NaN,NaN,NaN,NaN,563.6173913043478,610.0087719298245,642.078947368421,0,0.008771929824561403,0.06140350877192982
35000,344,344,601.4752186588921,658.8099415204679,0.01749271137026239,0.09064327485380116,500,Infinity,-1,0.5232558139534884,-1,344,0,1,NaN,NaN,NaN,NaN,NaN,NaN,563.9615384615385,611.5752212389381,648.56,0,0,0.06
40000,344,344,605.1918604651163,658.2167630057803,0.014534883720930232,0.08959537572254335,500,Infinity,-1,0.5174418604651163,-1,344,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,611.4324324324324,650.6754385964912,0,0.009009009009009009,0.03508771929824561
45000,345,344,603.5,657.5393586005831,0.023121387283236993,0.05539358600583091,500,Infinity,-1,0.48546511627906974,-1,345,0,1,NaN,NaN,NaN,NaN,NaN,NaN,563.7478260869565,611.6370967741935,646.0280373831775,0,0.016129032258064516,0.056074766355140186
50000,344,345,604.8421052631579,662.2225433526012,0.023391812865497075,0.08092485549132948,500,Infinity,-1,0.4956521739130435,-1,344,0,1,NaN,NaN,NaN,NaN,NaN,NaN,563.8421052631579,612.547619047619,650.5588235294117,0,0.007936507936507936,0.06862745098039216
55000,344,344,604.4651162790698,658.9623188405797,0.011627906976744186,0.07536231884057971,500,Infinity,-1,0.5058139534883721,-1,344,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,611.7241379310345,649.1636363636363,0,0,0.03636363636363636
60000,344,344,604.7826086956521,657.4692082111437,0.02608695652173913,0.08797653958944282,500,Infinity,-1,0.49127906976744184,-1,344,0,1,NaN,NaN,NaN,NaN,NaN,NaN,563.8623853211009,612.3968253968254,645.4545454545455,0,0,0.08181818181818182
65000,344,344,603.6472303206997,659.9883720930233,0.023323615160349854,0.08430232558139535,500,Infinity,-1,0.5465116279069767,-1,344,0,1,NaN,NaN,NaN,NaN,NaN,NaN,563.6186440677966,612.4774774774775,645.140350877193,0.00847457627118644,0.009009009009009009,0.05263157894736842
70000,344,344,605.7159420289855,655.7919075144508,0.014492753623188406,0.06936416184971098,500,Infinity,-1,0.49127906976744184,-1,344,0,1,NaN,NaN,NaN,NaN,NaN,NaN,563.875,612.595041322314,648.8928571428571,0,0.008264462809917356,0.03571428571428571
75000,344,344,605.9649122807018,657.8862973760932,0.008771929824561403,0.06705539358600583,500,Infinity,-1,0.48255813953488375,-1,344,0,1,NaN,NaN,NaN,NaN,NaN,NaN,563.8571428571429,611.4098360655738,647.1565217391304,0,0,0.02608695652173913
80000,345,344,608.8753623188405,653.3953488372093,0.011594202898550725,0.06976744186046512,500,Infinity,-1,0.527536231884058,-1,345,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,610.8211382113822,646.2,0,0.008130081300813009,0.023076923076923078
85000,344,345,612.6918604651163,760.6112759643917,0,0.08605341246290801,500,Infinity,-1,0.5494186046511628,-1,344,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,613.7339449541284,662.488,0,0,0
90000,344,344,612.4360465116279,776.233918128655,0,0.06140350877192982,500,Infinity,-1,0.5406976744186046,-1,344,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,614,664,0,0,0
95000,344,344,611.149855907781,777.6831395348837,0,0.06976744186046512,500,Infinity,-1,0.563953488372093,-1,344,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,614,663.9918699186992,0,0,0
100000,344,344,605.6862170087976,776.9217391304347,0,0.06956521739130435,500,Infinity,-1,0.5581395348837209,-1,344,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,614,664,0,0,0
105000,344,344,606.5606936416185,776.804664723032,0,0.08746355685131195,500,Infinity,-1,0.4796511627906977,-1,344,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,614,664,0,0,0
110000,344,344,610.4273255813954,781.5333333333333,0,0.1072463768115942,500,Infinity,-1,0.5203488372093024,-1,344,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,614,664,0,0,0
115000,345,344,616.5217391304348,779.9913294797688,0,0.1069364161849711,500,Infinity,-1,0.5581395348837209,-1,345,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,613.9901960784314,664,0,0,0
120000,344,345,612.733137829912,775.3644314868804,0,0.06997084548104957,500,Infinity,-1,0.5623188405797102,-1,344,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,614,664,0,0,0
125000,344,344,613.9069767441861,778.7159420289855,0,0.0782608695652174,500,Infinity,-1,0.5377906976744186,-1,344,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,614,664,0,0,0
130000,344,344,611.4293948126801,777.8168604651163,0,0.09011627906976744,500,Infinity,-1,0.5668604651162791,-1,344,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,614,664,0,0,0
135000,344,344,611.4402332361516,781.5555555555555,0,0.04678362573099415,500,Infinity,-1,0.5552325581395349,-1,344,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,614,664,0,0,0
140000,344,344,614.4840579710145,777.5850144092219,0,0.07492795389048991,500,Infinity,-1,0.5261627906976745,-1,344,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,614,664,0,0,0
145000,344,344,611.7230320699708,779.5029239766081,0,0.043859649122807015,500,Infinity,-1,0.5087209302325582,-1,344,0,1,NaN,NaN,NaN,NaN,NaN,NaN,564,614,663.9557522123894,0,0,0
