tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency
3850000,200,200,200,2992,3424.969849246231,0.59,1,Infinity,Infinity,-1,0.32,-1,200,0,1,155128.842,-1,-1,-1,97723.15254237287,97723.15254237287,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.890625
3900000,200,200,200,2976.747474747475,3375.6534653465346,0.6060606060606061,1,Infinity,Infinity,-1,0.29,-1,200,0,1,152916.293,-1,-1,-1,97844.775,97844.775,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.964285714286,3504.8939393939395
3950000,200,200,200,2992.049751243781,3418.1015228426395,0.6716417910447762,1,Infinity,Infinity,-1,0.305,-1,200,0,1,157352.89,-1,-1,-1,114083.26666666666,114083.26666666666,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.967213114754,3504.8970588235293
4000000,200,200,200,3019.5,3425.1831683168316,0.625,1,Infinity,Infinity,-1,0.255,-1,200,0,1,156714.998,-1,-1,-1,103855.672,103855.672,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.9841269841268,3504.9305555555557
4050000,200,200,200,2982,3448.343434343434,0.58,1,Infinity,Infinity,-1,0.31,-1,200,0,1,156702.39,-1,-1,-1,108209.33620689655,108209.33620689655,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.8275862068967
4100000,200,200,200,2994.462311557789,3487.915,0.6331658291457286,1,Infinity,Infinity,-1,0.28,-1,200,0,1,157552.452,-1,-1,-1,107550.38888888889,107550.38888888889,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.9253731343283
4150000,200,200,200,2999.5124378109454,3443.855,0.6467661691542289,1,Infinity,Infinity,-1,0.305,-1,200,0,1,156514.946,-1,-1,-1,107441.53076923077,107441.53076923077,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.910447761194
4200000,200,200,200,3029.5,3519.385,0.625,1,Infinity,Infinity,-1,0.295,-1,200,0,1,154781.935,-1,-1,-1,112297.728,112297.728,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.9240506329115
4250000,200,200,200,3004.5125628140704,3598.8743718592964,0.592964824120603,1,Infinity,Infinity,-1,0.28,-1,200,0,1,155007.684,-1,-1,-1,126963.81355932204,126963.81355932204,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.942857142857
4300000,200,200,200,3054.5,3588.569306930693,0.645,1,Infinity,Infinity,-1,0.275,-1,200,0,1,157393.638,-1,-1,-1,128129.42635658915,128129.42635658915,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.948717948718
