tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
5000,104,104,300.68367346938777,297.68367346938777,0.5,0.5,106,28,-1,1,0,104,0,1,0.46153846153846156,0.6333333333333333,0.41379310344827586,296.94871794871796,305.6333333333333,310.62068965517244,NaN,NaN,NaN,NaN,NaN,NaN
10000,104,104,303.6857142857143,300.6857142857143,0.580952380952381,0.580952380952381,106,28,-1,1,0,104,0,1,0.627906976744186,0.6764705882352942,0.39285714285714285,311.74418604651163,299.79411764705884,307.14285714285717,NaN,NaN,NaN,NaN,NaN,NaN
15000,104,104,301.24038461538464,298.24038461538464,0.46153846153846156,0.46153846153846156,106,28,-1,1,0,104,0,1,0.5142857142857142,0.40540540540540543,0.46875,300.65714285714284,304.3243243243243,308,NaN,NaN,NaN,NaN,NaN,NaN
20000,104,104,298.3203883495146,295.3203883495146,0.5631067961165048,0.5631067961165048,106,28,-1,1,0,104,0,1,0.52,0.5897435897435898,0.5641025641025641,294.2,304.56410256410254,302.5897435897436,NaN,NaN,NaN,NaN,NaN,NaN
25000,104,104,307.3269230769231,304.33653846153845,0.6538461538461539,0.6538461538461539,106,28,-1,0.9903846153846154,0,104,0,1,0.631578947368421,0.7307692307692307,0.625,315.57894736842104,309.7307692307692,305.675,NaN,NaN,NaN,NaN,NaN,NaN
30000,104,104,298.3009708737864,295.3009708737864,0.5436893203883495,0.5436893203883495,106,28,-1,1,0,104,0,1,0.65625,0.3870967741935484,0.575,301.15625,299.258064516129,302.9,NaN,NaN,NaN,NaN,NaN,NaN
35000,104,104,298.1826923076923,295.1826923076923,0.6346153846153846,0.6346153846153846,106,28,-1,1,0,104,0,1,0.6333333333333333,0.717948717948718,0.5428571428571428,309.26666666666665,303.56410256410254,291.54285714285714,NaN,NaN,NaN,NaN,NaN,NaN
40000,104,104,299.12380952380954,296.12380952380954,0.5238095238095238,0.5238095238095238,106,28,-1,1,0,104,0,1,0.4857142857142857,0.43243243243243246,0.6666666666666666,299.57142857142856,309.5135135135135,296.54545454545456,NaN,NaN,NaN,NaN,NaN,NaN
45000,104,104,296.47115384615387,293.47115384615387,0.5961538461538461,0.5961538461538461,106,28,-1,1,0,104,0,1,0.6052631578947368,0.5757575757575758,0.6060606060606061,300.7368421052632,294.06060606060606,303.24242424242425,NaN,NaN,NaN,NaN,NaN,NaN
50000,104,103,305.125,302.125,0.6153846153846154,0.6153846153846154,106,28,-1,1,0,104,0,1,0.6666666666666666,0.5294117647058824,0.6451612903225806,316.4102564102564,301.29411764705884,305.06451612903226,NaN,NaN,NaN,NaN,NaN,NaN
