tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
5000,195,194,340.2692307692308,337.35164835164835,0.4725274725274725,0.4725274725274725,500,28,-1,0.9690721649484536,0,195,0,1,0.5,0.43859649122807015,0.4745762711864407,344.3787878787879,336.89473684210526,347.8305084745763,NaN,NaN,NaN,NaN,NaN,NaN
10000,194,195,343.79274611398966,340.860103626943,0.5233160621761658,0.5233160621761658,500,28,-1,0.9897435897435898,0,194,0,1,0.5,0.48484848484848486,0.5873015873015873,346.515625,350.74242424242425,342.6031746031746,NaN,NaN,NaN,NaN,NaN,NaN
15000,194,194,342.6546391752577,339.7216494845361,0.5309278350515464,0.5309278350515464,500,28,-1,0.9587628865979382,0,194,0,1,0.4533333333333333,0.6206896551724138,0.5409836065573771,345.28,352.36206896551727,339.3114754098361,NaN,NaN,NaN,NaN,NaN,NaN
20000,194,194,337.46153846153845,334.5230769230769,0.5282051282051282,0.5282051282051282,500,28,-1,0.9845360824742269,0,194,0,1,0.49230769230769234,0.5757575757575758,0.515625,338.6,339.3636363636364,343.171875,NaN,NaN,NaN,NaN,NaN,NaN
25000,194,194,339.55670103092785,336.6082474226804,0.520618556701031,0.520618556701031,500,28,-1,0.9690721649484536,0,194,0,1,0.4375,0.546875,0.5757575757575758,346.859375,337.46875,343.1212121212121,NaN,NaN,NaN,NaN,NaN,NaN
30000,194,194,337.08762886597935,334.1443298969072,0.520618556701031,0.520618556701031,500,28,-1,0.9896907216494846,0,194,0,1,0.5833333333333334,0.5205479452054794,0.45901639344262296,328.8333333333333,348.35616438356163,341.0327868852459,NaN,NaN,NaN,NaN,NaN,NaN
35000,194,194,343.96923076923076,341.01025641025643,0.5384615384615384,0.5384615384615384,500,28,-1,0.9845360824742269,0,194,0,1,0.5942028985507246,0.5961538461538461,0.44594594594594594,344.69565217391306,349.40384615384613,347.1216216216216,NaN,NaN,NaN,NaN,NaN,NaN
40000,195,194,340.559585492228,337.6165803108808,0.5751295336787565,0.5751295336787565,500,28,-1,0.9639175257731959,0,195,0,1,0.576271186440678,0.5633802816901409,0.5873015873015873,336.9830508474576,346.3098591549296,346.3809523809524,NaN,NaN,NaN,NaN,NaN,NaN
45000,194,195,343.8556701030928,340.8814432989691,0.5567010309278351,0.5567010309278351,500,28,-1,0.9897435897435898,0,194,0,1,0.4339622641509434,0.6153846153846154,0.5921052631578947,349.3018867924528,346.32307692307694,345.36842105263156,NaN,NaN,NaN,NaN,NaN,NaN
50000,194,194,338.2857142857143,335.3265306122449,0.5306122448979592,0.5306122448979592,500,28,-1,0.9896907216494846,0,194,0,1,0.5217391304347826,0.5616438356164384,0.5,343.463768115942,347.67123287671234,329.6666666666667,NaN,NaN,NaN,NaN,NaN,NaN
55000,194,194,337.5833333333333,334.640625,0.5208333333333334,0.5208333333333334,500,28,-1,0.9690721649484536,0,194,0,1,0.48484848484848486,0.5573770491803278,0.5230769230769231,342.3484848484849,341.7049180327869,337.46153846153845,NaN,NaN,NaN,NaN,NaN,NaN
60000,194,194,339.9742268041237,337.02061855670104,0.5773195876288659,0.5773195876288659,500,28,-1,0.9742268041237113,0,194,0,1,0.559322033898305,0.6119402985074627,0.5588235294117647,337.06779661016947,342.910447761194,347.69117647058823,NaN,NaN,NaN,NaN,NaN,NaN
65000,194,194,342.8814432989691,339.91237113402065,0.520618556701031,0.520618556701031,500,28,-1,0.9896907216494846,0,194,0,1,0.47058823529411764,0.5142857142857142,0.5892857142857143,346.1470588235294,343.4142857142857,348.32142857142856,NaN,NaN,NaN,NaN,NaN,NaN
70000,194,194,341.55897435897435,338.5897435897436,0.558974358974359,0.558974358974359,500,28,-1,0.979381443298969,0,194,0,1,0.4626865671641791,0.5789473684210527,0.6338028169014085,341.17910447761193,353.29824561403507,340.4225352112676,NaN,NaN,NaN,NaN,NaN,NaN
75000,195,194,342.79896907216494,339.8453608247423,0.6082474226804123,0.6082474226804123,500,28,-1,0.979381443298969,0,195,0,1,0.6111111111111112,0.6545454545454545,0.5671641791044776,347.0833333333333,348.43636363636364,342,NaN,NaN,NaN,NaN,NaN,NaN
