,loadFromY,loadFromY,loadFromY,loadFromY,,meanLatencyFromY,meanLatencyFromY,meanLatencyFromY,meanLatencyFromY,,meanAvailabilityFromY,meanAvailabilityFromY,meanAvailabilityFromY,meanAvailabilityFromY,,meanResponseP1Availability,meanResponseP1Availability,meanResponseP1Availability,meanResponseP1Availability,,meanResponseP2Availability,meanResponseP2Availability,meanResponseP2Availability,meanResponseP2Availability,,meanResponseP3Availability,meanResponseP3Availability,meanResponseP3Availability,meanResponseP3Availability,
,A - Naive,B - LoadLeveling,C - LoadShedding,D - SmartLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - SmartLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - SmartLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - SmartLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - SmartLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - SmartLoadShedding,
2100000,197,476,197,197,,2998.5628140703516,93247.54831932773,2965.381909547739,2935.868686868687,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
2150000,168,444,168,168,,2960.0887573964496,41479.46982758621,2970.7041420118344,2894.5755813953488,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
2200000,152,152,152,152,,2916.8627450980393,2928.233333333333,2931.6928104575163,2943.7039473684213,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
2250000,153,153,153,153,,2928.1381578947367,2978.9675324675327,2957.907284768212,2953.6052631578946,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
2300000,168,169,169,169,,2956.2738095238096,2964.6626506024095,2928.8273809523807,2911.0239520958085,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
2350000,199,198,198,198,,2957.3908629441626,2948.9285714285716,2982.228426395939,2924.4489795918366,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
2400000,241,241,241,241,,2918.6822033898306,2928.5666666666666,2944.8607594936707,2938.116666666667,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
2450000,293,293,293,293,,2948.705882352941,2986.683848797251,2971.705479452055,2945.3275261324043,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
2500000,353,353,353,353,,2964.7613636363635,2964.57225433526,2961.204610951009,2934.8636363636365,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
2550000,414,414,414,414,,2917.905109489051,2940.259708737864,3001.8581907090465,2917.591687041565,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
2600000,476,465,465,466,,2805.5966386554624,3204.6976241900647,3156.131182795699,3008.094827586207,,0.9432773109243697,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
2650000,532,467,477,477,,2575.0698113207545,6013.145610278372,5764.469601677149,4889.471698113208,,0.869811320754717,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
2700000,580,475,472,475,,2385.9224137931033,13053.774736842106,12617.953389830509,8485.4,,0.7948275862068965,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
2750000,617,475,473,472,,2279.637987012987,22697.324210526316,17201.966216216217,9457.982993197278,,0.7613636363636364,1,0.7989864864864865,0.8027210884353742,,NaN,NaN,NaN,0.3894736842105263,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
2800000,641,473,475,473,,2176.2523364485983,34190.8689217759,17671.66458658346,9254.8,,0.7336448598130841,1,0.7410296411856474,0.7390625,,NaN,NaN,NaN,0.21226415094339623,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
2850000,650,475,472,476,,2153.7993827160494,46677.972631578945,17418.436055469952,13227.687692307692,,0.7237654320987654,1,0.7272727272727273,0.7323076923076923,,NaN,NaN,NaN,0.23684210526315788,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
2900000,642,476,481,468,,2176.7449455676515,60221.14495798319,17888.74805598756,11804.447040498442,,0.7247278382581649,1,0.7480559875583204,0.7289719626168224,,NaN,NaN,NaN,0.1674641148325359,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
2950000,620,470,469,473,,2260.255627009646,73517.3914893617,18196.599353796446,22892.420289855072,,0.7540192926045016,1,0.7576736672051696,0.7616747181964574,,NaN,NaN,NaN,0.3051643192488263,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
3000000,585,472,476,471,,2372.664957264957,86936.54449152542,19465.552721088436,33132.77303754266,,0.7846153846153846,1,0.8095238095238095,0.8037542662116041,,NaN,NaN,NaN,0.4933920704845815,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
3050000,537,475,477,473,,2548.9737827715358,99319.66105263158,20994.990689013037,25113.661710037173,,0.8539325842696629,1,0.888268156424581,0.879182156133829,,NaN,NaN,NaN,0.6614583333333334,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
3100000,482,474,472,474,,2768.6,110251.10337552743,23122.27685950413,25621.17695473251,,0.9257731958762887,1,0.9752066115702479,0.9753086419753086,,NaN,NaN,NaN,0.9210526315789473,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
3150000,420,468,480,480,,2936.8289786223277,119313.4188034188,22252.685416666667,26940.34375,,0.997624703087886,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
3200000,359,478,477,472,,2977.8292011019284,125137.23849372385,14575.368972746332,18663.35593220339,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
3250000,299,482,316,319,,2996.8980263157896,125460.54149377593,3411.6018237082067,3977.7831325301204,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
3300000,246,473,246,246,,2947.6194331983806,118086.28329809725,3018.9596774193546,3014.887550200803,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
3350000,202,476,202,202,,2957.7342995169083,97333.92016806723,2977.2829268292685,2932.669950738916,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
3400000,171,471,171,171,,2976.288235294118,50575.39278131635,2951.4941860465115,2962.7803468208094,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
3450000,154,168,154,154,,2948.6923076923076,4287.5161290322585,2995.941935483871,2948.8322580645163,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
3500000,151,151,151,151,,2971.9933774834435,2886.6601307189544,2905.562913907285,2924.233333333333,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
3550000,166,166,166,166,,2916.018181818182,2995.7852760736196,2887.8963414634145,2951.8963414634145,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
3600000,193,193,193,193,,2948.0366492146595,2914.984375,2961.415789473684,2924.471204188482,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
3650000,235,235,235,235,,2945.2606837606836,2958.185344827586,2979.1068376068374,2961.602564102564,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
3700000,286,286,286,286,,2945.2293906810037,2983.6855123674914,2976.4163701067614,2961.1245551601423,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
3750000,344,344,344,344,,2986.6432748538014,2938.826470588235,2932.644117647059,2966.4764705882353,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
3800000,407,407,407,407,,2937.4154228855723,2956.3333333333335,2961.348148148148,2955.6699751861042,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
3850000,467,457,465,459,,2832.2119914346895,3135.615894039735,3049.095238095238,2998.2292576419213,,0.9507494646680942,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
3900000,525,477,473,478,,2609.2884250474385,5474.672955974843,5052.109936575052,4718.405857740586,,0.8785578747628083,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
3950000,575,477,475,476,,2418.4588441331,11495.897274633124,11312.343157894737,8095.373949579832,,0.8126094570928196,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
4000000,613,476,470,473,,2282.3866231647635,20647.38025210084,16825.725352112677,8925.711267605633,,0.7601957585644372,1,0.8274647887323944,0.8327464788732394,,NaN,NaN,NaN,0.4311377245508982,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
4050000,639,471,480,474,,2187.2190923317685,31896.375796178345,17972.920062695925,7666.652037617555,,0.7386541471048513,1,0.7523510971786834,0.7429467084639498,,NaN,NaN,NaN,0.18407960199004975,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
4100000,649,476,476,475,,2149.8859784283513,44361.08193277311,17396.84899845917,8568.113846153847,,0.7180277349768875,1,0.7334360554699538,0.7307692307692307,,NaN,NaN,NaN,0.15048543689320387,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
4150000,644,470,471,471,,2181.465944272446,57710.902127659574,17542.109567901236,14621.794712286159,,0.7291021671826625,1,0.7268518518518519,0.7325038880248833,,NaN,NaN,NaN,0.2037037037037037,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
4200000,624,472,471,473,,2248.8569131832796,71514.48940677966,18241.906752411574,21956.927884615383,,0.7443729903536977,1,0.7572347266881029,0.7580128205128205,,NaN,NaN,NaN,0.27751196172248804,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
4250000,590,486,477,469,,2348.418644067797,84361.47736625515,19288.05254237288,25134.540677966103,,0.7813559322033898,1,0.8084745762711865,0.7949152542372881,,NaN,NaN,NaN,0.33879781420765026,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
4300000,544,472,476,478,,2509.060661764706,96421.02542372882,20767.226102941175,35390.879562043796,,0.8400735294117647,1,0.875,0.8722627737226277,,NaN,NaN,NaN,0.6428571428571429,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
4350000,489,474,476,476,,2753.0447154471544,107373.83333333333,22814.776876267748,27665.113590263692,,0.9227642276422764,1,0.9655172413793104,0.9655172413793104,,NaN,NaN,NaN,0.9,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
4400000,429,474,480,469,,2913.671296296296,116636.57805907173,22899.802083333332,24989.773987206823,,0.9861111111111112,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
4450000,367,473,469,471,,2948.0459459459457,122918.3932346723,16300.247334754797,24183.072186836518,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
4500000,307,474,348,355,,2954.1688311688313,124038.83122362869,4614.975,6179.767759562841,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
4550000,252,478,252,252,,2942.670542635659,117779.76778242677,2949.0513833992095,2967.5372549019608,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
4600000,208,474,208,208,,2968.4523809523807,98923.68565400844,2928.235849056604,3005.114285714286,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
4650000,174,482,174,174,,2939.3885714285716,54814.365145228214,2954.1257142857144,2924.3125,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
4700000,155,188,155,155,,2923.051282051282,5959.371980676328,2992.7820512820513,2956.566878980892,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
4750000,151,151,151,151,,3009.748344370861,3005.609271523179,3002.3046357615895,2957.271523178808,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
4800000,163,163,163,163,,2872.4506172839506,2949.645962732919,2999.2578616352203,3018.65625,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
4850000,189,189,189,189,,2885.871657754011,2947.601063829787,2918.1465968586385,2940.7021276595747,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
4900000,228,228,228,228,,2958.163716814159,2951.59375,2975.3777777777777,2898.504424778761,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
4950000,279,279,279,279,,2962.6007326007325,2904.462093862816,2949.764492753623,2968.660516605166,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
5000000,326,327,327,327,,2949.6119402985073,2985.231231231231,2933.1480362537764,2953.008875739645,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
