,meanLatencyFromY,meanLatencyFromY,meanLatencyFromY,meanLatencyFromY,,meanAvailabilityFromY,meanAvailabilityFromY,meanAvailabilityFromY,meanAvailabilityFromY,,meanResponseGFastAvailability,meanResponseGFastAvailability,meanResponseGFastAvailability,meanResponseGFastAvailability,,meanResponseGMediumAvailability,meanResponseGMediumAvailability,meanResponseGMediumAvailability,meanResponseGMediumAvailability,,meanResponseGSlowAvailability,meanResponseGSlowAvailability,meanResponseGSlowAvailability,meanResponseGSlowAvailability,,meanResponseGFastLatency,meanResponseGFastLatency,meanResponseGFastLatency,meanResponseGFastLatency,,meanResponseGMediumLatency,meanResponseGMediumLatency,meanResponseGMediumLatency,meanResponseGMediumLatency,,meanResponseGSlowLatency,meanResponseGSlowLatency,meanResponseGSlowLatency,meanResponseGSlowLatency,
,A - Naive,E - RequestCaching,F - AsyncCacheLoading,G - PerRequestTimeout,,A - Naive,E - RequestCaching,F - AsyncCacheLoading,G - PerRequestTimeout,,A - Naive,E - RequestCaching,F - AsyncCacheLoading,G - PerRequestTimeout,,A - Naive,E - RequestCaching,F - AsyncCacheLoading,G - PerRequestTimeout,,A - Naive,E - RequestCaching,F - AsyncCacheLoading,G - PerRequestTimeout,,A - Naive,E - RequestCaching,F - AsyncCacheLoading,G - PerRequestTimeout,,A - Naive,E - RequestCaching,F - AsyncCacheLoading,G - PerRequestTimeout,,A - Naive,E - RequestCaching,F - AsyncCacheLoading,G - PerRequestTimeout,
850000,2901.5124378109454,1378.9751243781095,2,2997,,1,1,0.54,0.73,,,NaN,,0.5205479452054794,,,NaN,,0.6785714285714286,,,NaN,,0.9859154929577465,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3005,,NaN,NaN,NaN,3504.8591549295775,
900000,2611.4626865671644,1270.2277227722773,2,3039.688442211055,,1,1,0.54,0.8693467336683417,,,NaN,,0.7321428571428571,,,NaN,,0.8611111111111112,,,NaN,,0.9859154929577465,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3004.9861111111113,,NaN,NaN,NaN,3504.8591549295775,
950000,2443,1136.1313131313132,2,2989.5621890547263,,1,1,0.52,0.9154228855721394,,,NaN,,0.7746478873239436,,,NaN,,0.984375,,,NaN,,1,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3004.984375,,NaN,NaN,NaN,3504.878787878788,
1000000,2462.7064676616915,1250.9851485148515,2,3034.5,,1,1,0.505,0.895,,,NaN,,0.734375,,,NaN,,0.9322033898305084,,,NaN,,1,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3005,,NaN,NaN,NaN,3504.883116883117,
1050000,2671,1239.530612244898,2,2987,,1,1,0.525,0.9,,,NaN,,0.7916666666666666,,,NaN,,0.9354838709677419,,,NaN,,0.9848484848484849,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3004.967741935484,,NaN,NaN,NaN,3504.818181818182,
1100000,2886.228426395939,1441.6965174129352,2,3036.8258706467664,,1,1,0.47,0.7761194029850746,,,NaN,,0.5737704918032787,,,NaN,,0.7538461538461538,,,NaN,,0.96,,NaN,NaN,NaN,2504.9836065573772,,NaN,NaN,NaN,3004.9538461538464,,NaN,NaN,NaN,3504.866666666667,
1150000,3336.495,1682.859296482412,2,2982,,1,1,0.495,0.59,,,NaN,,0.375,,,NaN,,0.609375,,,NaN,,0.8125,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3005,,NaN,NaN,NaN,3504.875,
1200000,3944.1015228426395,1809.3618090452262,2,2971.8492462311556,,1,1,0.565,0.5527638190954773,,,NaN,,0.4520547945205479,,,NaN,,0.5384615384615384,,,NaN,,0.6885245901639344,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3005,,NaN,NaN,NaN,3504.9180327868853,
1250000,4561.65306122449,1969.0653266331658,2,3049.738693467337,,1,1,0.56,0.5829145728643216,,,NaN,,0.5636363636363636,,,NaN,,0.5285714285714286,,,NaN,,0.6486486486486487,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3005,,NaN,NaN,NaN,3504.945945945946,
1300000,5088.838383838384,2474.979695431472,2,3046.776119402985,,1,1,0.51,0.5771144278606966,,,NaN,,0.5740740740740741,,,NaN,,0.5333333333333333,,,NaN,,0.625,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3004.9866666666667,,NaN,NaN,NaN,3504.8888888888887,
1350000,5760.3451776649745,2751.6142131979695,2,3024.3880597014927,,1,1,0.565,0.472636815920398,,,NaN,,0.5,,,NaN,,0.48214285714285715,,,NaN,,0.44155844155844154,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3005,,NaN,NaN,NaN,3504.935064935065,
1400000,6288.343434343435,2804.768472906404,2,3027.1256281407036,,1,1,0.65,0.5276381909547738,,,NaN,,0.515625,,,NaN,,0.5081967213114754,,,NaN,,0.5540540540540541,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3005,,NaN,NaN,NaN,3504.9324324324325,
1450000,6783.396984924623,2902.2401960784314,2,2979.386934673367,,1,1,0.565,0.5326633165829145,,,NaN,,0.4533333333333333,,,NaN,,0.6206896551724138,,,NaN,,0.5454545454545454,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3005,,NaN,NaN,NaN,3504.9242424242425,
1500000,7164.804020100502,3109.2929292929293,2,3034.5,,1,1,0.475,0.52,,,NaN,,0.5396825396825397,,,NaN,,0.5245901639344263,,,NaN,,0.5,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3005,,NaN,NaN,NaN,3504.907894736842,
1550000,7374.20202020202,3312.2433862433863,2,2984.6732673267325,,1,1,0.57,0.5544554455445545,,,NaN,,0.6470588235294118,,,NaN,,0.4931506849315068,,,NaN,,0.5245901639344263,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3005,,NaN,NaN,NaN,3504.8852459016393,
1600000,7444.79104477612,3619.5829383886257,2,2989.4371859296484,,1,1,0.58,0.5276381909547738,,,NaN,,0.5970149253731343,,,NaN,,0.44285714285714284,,,NaN,,0.5483870967741935,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3004.9857142857145,,NaN,NaN,NaN,3504.967741935484,
