,loadFromY,loadFromY,loadFromY,,poolSize,poolSize,poolSize,,zCapacity,zCapacity,zCapacity,,meanAvailabilityFromY,meanAvailabilityFromY,meanAvailabilityFromY,
,A - Naive,K - CooperativePoolSizing,L - InferredPoolSizing,,A - Naive,K - CooperativePoolSizing,L - InferredPoolSizing,,A - Naive,K - CooperativePoolSizing,L - InferredPoolSizing,,A - Naive,K - CooperativePoolSizing,L - InferredPoolSizing,
3300000,400,259,400,,Infinity,14,21,,14,14,14,,0.6417910447761194,1,0.6401985111662531,
3350000,400,217,357,,Infinity,12,12,,12,12,12,,0.5447761194029851,1,0.5905292479108635,
3400000,400,180,345,,Infinity,10,9,,10,10,10,,0.4463840399002494,1,0.5201149425287356,
3450000,400,168,169,,Infinity,10,10,,10,10,10,,0.4164588528678304,1,1,
3500000,400,168,171,,Infinity,10,10,,10,10,10,,0.4164588528678304,1,1,
3550000,400,174,171,,Infinity,11,11,,11,11,11,,0.43828715365239296,1,1,
3600000,400,202,177,,Infinity,13,11,,13,13,13,,0.507537688442211,1,1,
3650000,400,245,211,,Infinity,16,12,,16,16,16,,0.6130653266331658,1,1,
3700000,400,296,227,,Infinity,19,14,,19,19,19,,0.7361809045226131,1,1,
3750000,400,361,224,,Infinity,23,13,,23,23,23,,0.8614609571788413,1,1,
3800000,400,417,229,,Infinity,27,13,,27,27,27,,0.9745547073791349,1,1,
3850000,400,474,227,,Infinity,30,14,,30,30,30,,0.9975308641975309,1,1,
3900000,400,549,229,,Infinity,34,14,,34,34,34,,1,1,1,
3950000,400,593,266,,Infinity,36,17,,36,36,36,,1,1,1,
4000000,400,633,285,,Infinity,38,17,,38,38,38,,1,1,1,
4050000,400,655,297,,Infinity,39,18,,39,39,39,,1,1,1,
4100000,400,650,323,,Infinity,39,20,,39,39,39,,1,1,1,
4150000,400,660,330,,Infinity,39,19,,39,39,39,,1,1,1,
4200000,400,633,343,,Infinity,37,21,,37,37,37,,1,1,1,
4250000,400,588,344,,Infinity,35,20,,35,35,35,,1,1,1,
4300000,400,400,359,,Infinity,32,22,,32,32,32,,1,1,1,
4350000,400,400,377,,Infinity,28,23,,28,28,28,,1,1,1,
4400000,400,400,409,,Infinity,24,25,,24,24,24,,0.9949748743718593,1,1,
4450000,400,381,3121,,Infinity,21,21,,21,21,21,,0.9158415841584159,1,0.12128,
4500000,400,318,409,,Infinity,17,20,,17,17,17,,0.7766749379652605,1,0.7669902912621359,
4550000,400,265,400,,Infinity,14,17,,14,14,14,,0.6592039800995025,1,0.6674937965260546,
4600000,400,218,400,,Infinity,12,14,,12,12,12,,0.5472636815920398,1,0.554726368159204,
4650000,400,182,400,,Infinity,10,12,,10,10,10,,0.4651741293532338,1,0.4427860696517413,
4700000,400,170,191,,Infinity,10,9,,10,10,10,,0.425,1,0.7616580310880829,
4750000,400,170,153,,Infinity,10,10,,10,10,10,,0.42144638403990026,1,1,
4800000,400,171,169,,Infinity,11,10,,11,11,11,,0.43358395989974935,1,1,
4850000,400,197,200,,Infinity,13,13,,13,13,13,,0.491183879093199,1,1,
4900000,400,238,240,,Infinity,16,15,,16,16,16,,0.5954773869346733,1,1,
4950000,400,295,284,,Infinity,19,18,,19,19,19,,0.7128463476070529,1,1,
5000000,400,350,314,,Infinity,22,18,,23,23,23,,0.8446115288220551,1,1,
-1,,416,329,,,26,19,,,26,26,,,1,1,
-1,,472,343,,,30,21,,,30,30,,,1,1,
-1,,537,389,,,33,24,,,33,33,,,1,1,
