tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,throughput,zCapacity
1455000,0,15,1451934.75,27639.333333333332,1,1,12,300
1456000,0,8,1452939,30516.125,0.875,0.875,8,300
1457000,0,9,1454097,22012.14285714286,1,1,7,300
1458000,0,7,1455041.5,25898.5,0.8333333333333334,0.8333333333333334,6,300
1459000,0,7,1456030.5,27775.75,1,1,4,300
1460000,0,6,1456864.3333333333,22167.666666666668,1,1,3,300
1461000,0,10,1458135.4285714286,28341.85714285714,0.8571428571428571,0.8571428571428571,7,300
1462000,0,10,1458905,26994.333333333332,1,1,9,300
1463000,0,9,1459989.5,29633,1,1,6,300
1464000,0,8,1461274.75,33018.75,1,1,4,300
1465000,0,9,1461996.7142857143,21816.14285714286,1,1,7,300
1466000,0,7,1463009.8333333333,29372.333333333332,0.8333333333333334,0.8333333333333334,6,300
1467000,0,15,1464035.5,26621.4,0.9,0.9,10,300
1468000,0,9,1464877.7142857143,25181.85714285714,1,1,7,300
1469000,0,9,1465952.857142857,34662.857142857145,0.5714285714285714,0.5714285714285714,7,300
1470000,0,13,1467020,33153.625,1,1,8,300
1471000,0,9,1468100,34641,1,1,7,300
1472000,0,10,1469055.8333333333,29584.333333333332,0.6666666666666666,0.6666666666666666,6,300
1473000,0,13,1469979.7272727273,28120.727272727272,1,1,11,300
1474000,0,10,1471056.4285714286,28364.428571428572,0.8571428571428571,0.8571428571428571,7,300
1475000,0,12,1472023.125,27279.875,0.875,0.875,8,300
1476000,0,15,1472846.3333333333,25672.583333333332,0.8333333333333334,0.8333333333333334,12,300
1477000,0,17,1473988.5384615385,27019.76923076923,0.9230769230769231,0.9230769230769231,13,300
1478000,0,6,1474951.75,21878,1,1,4,300
1479000,0,6,1475954.75,33315.5,1,1,4,300
1480000,0,9,1476864.75,27751,1,1,4,300
1481000,0,8,1477912,32963.375,0.75,0.75,8,300
1482000,0,7,1478974.8333333333,29337.666666666668,0.8333333333333334,0.8333333333333334,6,300
1483000,0,9,1480122.125,30343.875,0.875,0.875,8,300
1484000,0,9,1481028.6,26610,0.8,0.8,5,300
1485000,0,10,1482229.25,35761.125,0.75,0.75,8,300
1486000,0,6,1483033.25,27392.5,1,1,4,300
1487000,0,9,1483760.5714285714,31720.571428571428,0.7142857142857143,0.7142857142857143,7,300
1488000,0,9,1484930.142857143,25322.14285714286,1,1,7,300
1489000,0,12,1485986.7142857143,34722.28571428572,1,1,7,300
1490000,0,11,1486908.875,27407.5,0.75,0.75,8,300
1491000,0,10,1487942.7142857143,31728.85714285714,0.7142857142857143,0.7142857142857143,7,300
1492000,0,12,1489046.4545454546,32056.727272727272,0.8181818181818182,0.8181818181818182,11,300
1493000,0,9,1489973.5714285714,31311.14285714286,1,1,7,300
1494000,0,11,1490844,29254.222222222223,1,1,9,300
1495000,0,12,1491957.1,24044.3,1,1,10,300
1496000,0,12,1492990.888888889,34364.555555555555,1,1,9,300
1497000,0,14,1493957.0909090908,31935.727272727272,0.9090909090909091,0.9090909090909091,11,300
1498000,0,12,1494905.875,27553.25,0.875,0.875,8,300
1499000,0,13,1495962.6666666667,27129.88888888889,0.8888888888888888,0.8888888888888888,9,300
1500000,0,9,1496820.3333333333,33271.333333333336,0.6666666666666666,0.6666666666666666,6,300
1501000,0,6,1498004.6,31065.4,1,1,5,300
1502000,0,8,1498760.142857143,31694.85714285714,1,1,7,300
1503000,0,8,1499840.1666666667,29628,0.8333333333333334,0.8333333333333334,6,300
1504000,0,10,1500899.2857142857,25020.14285714286,1,1,7,300
1505000,0,8,1501903,30790.2,0.8,0.8,5,300
1506000,0,8,1502960.5,33065,0.8333333333333334,0.8333333333333334,6,300
1507000,0,9,1503925.7777777778,29573.333333333332,0.7777777777777778,0.7777777777777778,9,300
1508000,0,6,1504695.25,27739.5,1,1,4,300
1509000,0,10,1505842.375,27459.25,0.875,0.875,8,300
1510000,0,11,1506926.625,27536.125,1,1,8,300
1511000,0,10,1507911.5,36778.5,0.8333333333333334,0.8333333333333334,6,300
1512000,0,10,1508859.111111111,32042.222222222223,1,1,9,300
1513000,0,12,1509948.6666666667,29443.555555555555,0.8888888888888888,0.8888888888888888,9,300
1514000,0,9,1510850.4285714286,25356,0.8571428571428571,0.8571428571428571,7,300
1515000,0,11,1511919.75,27708.375,0.875,0.875,8,300
1516000,0,12,1512931.375,24791.125,1,1,8,300
1517000,0,11,1513968.9090909092,28132.727272727272,1,1,11,300
1518000,0,12,1514904.7777777778,31643.777777777777,0.8888888888888888,0.8888888888888888,9,300
