tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,throughput,zCapacity
695000,0,14,693412.75,35894.75,0.875,0.875,8,300
696000,0,15,694254.8461538461,28827.76923076923,0.9230769230769231,0.9230769230769231,13,300
697000,0,16,695208.9166666666,31109.75,1,1,12,300
698000,0,12,696084.7777777778,31900.666666666668,0.8888888888888888,0.8888888888888888,9,300
699000,0,14,697187.4545454546,30135.454545454544,0.9090909090909091,0.9090909090909091,11,300
700000,0,15,698229.1,31043.5,0.8,0.8,10,300
701000,0,13,699202.3,26230.2,1,1,10,300
702000,0,10,700225.2222222222,31887.222222222223,0.8888888888888888,0.8888888888888888,9,300
703000,0,8,701232.1666666666,33279.666666666664,0.8333333333333334,0.8333333333333334,6,300
704000,0,12,702301.4444444445,31991,0.7777777777777778,0.7777777777777778,9,300
705000,0,11,703351.7272727273,31914.363636363636,0.9090909090909091,0.9090909090909091,11,300
706000,0,10,704277,31034.2,0.6,0.6,5,300
707000,0,8,705270.5,36748.666666666664,0.8333333333333334,0.8333333333333334,6,300
708000,0,9,706295.6666666666,25870,1,1,6,300
709000,0,7,707369.3333333334,25654,1,1,6,300
710000,0,5,708327.5,27737,1,1,4,300
711000,0,6,709443,33001,0.75,0.75,4,300
712000,0,4,710296.5,33285.5,1,1,2,300
713000,0,7,711239.4,30814.4,0.8,0.8,5,300
714000,0,4,712643,28354.333333333332,1,1,3,300
715000,0,9,713158,30185.375,1,1,8,300
716000,0,10,714519.25,33254.75,0.75,0.75,4,300
717000,0,15,715298.4,35218.8,0.9,0.9,10,300
718000,0,13,716155.75,23713.416666666668,1,1,12,300
719000,0,19,717203.6153846154,32067.153846153848,0.9230769230769231,0.9230769230769231,13,300
720000,0,11,718215.5555555555,29314.333333333332,1,1,9,300
721000,0,14,719290.6666666666,31910.444444444445,0.8888888888888888,0.8888888888888888,9,300
722000,0,14,720301,28915.384615384617,1,1,13,300
723000,0,13,721329.4444444445,29463.777777777777,0.8888888888888888,0.8888888888888888,9,300
724000,0,11,722173.8,26616,0.8,0.8,5,300
725000,0,8,723224.8333333334,29360.166666666668,0.8333333333333334,0.8333333333333334,6,300
726000,0,11,724281.6666666666,33078,0.8333333333333334,0.8333333333333334,6,300
727000,0,11,725198.875,24807.375,0.875,0.875,8,300
728000,0,10,726291.7142857143,31736,1,1,7,300
729000,0,7,727241.7142857143,28574.85714285714,0.8571428571428571,0.8571428571428571,7,300
730000,0,10,728344.8571428572,34878.71428571428,0.8571428571428571,0.8571428571428571,7,300
731000,0,5,729186.2,26385.8,1,1,5,300
732000,0,6,730071.6,26672.2,0.8,0.8,5,300
733000,0,6,731059.5,27750.25,0.75,0.75,4,300
734000,0,5,732103.4,35523,0.8,0.8,5,300
735000,0,8,733352.25,32627.25,1,1,4,300
736000,0,4,734206.5,27413,0.75,0.75,4,300
737000,0,9,735101,22158.25,1,1,4,300
738000,0,9,736237.1428571428,44232.42857142857,0.8571428571428571,0.8571428571428571,7,300
739000,0,14,737265.3333333334,31220.833333333332,0.8333333333333334,0.8333333333333334,12,300
740000,0,18,738226.9230769231,27035.53846153846,0.9230769230769231,0.9230769230769231,13,300
741000,0,16,739200.1,31023.4,0.7,0.7,10,300
742000,0,12,740146.8571428572,31708.428571428572,1,1,7,300
743000,0,11,741425,33275.375,0.875,0.875,8,300
744000,0,14,742221.3571428572,25186.85714285714,0.9285714285714286,0.9285714285714286,14,300
745000,0,12,743265,30511.125,1,1,8,300
746000,0,13,744223.7,30793.3,0.8,0.8,10,300
747000,0,8,745195.7142857143,34880.28571428572,0.7142857142857143,0.7142857142857143,7,300
748000,0,11,746331.8571428572,38034.57142857143,0.5714285714285714,0.5714285714285714,7,300
749000,0,9,747235.8333333334,29582,1,1,6,300
750000,0,12,748214.1,30945.8,0.9,0.9,10,300
751000,0,8,749122.8333333334,22228.5,1,1,6,300
752000,0,7,750342.6,35526.4,0.6,0.6,5,300
753000,0,8,751251,22150.4,1,1,5,300
754000,0,5,752182,29540.333333333332,0.6666666666666666,0.6666666666666666,3,300
755000,0,6,752999.75,27729,1,1,4,300
756000,0,6,754046.2,26621.2,1,1,5,300
757000,0,6,755362.3333333334,36991.833333333336,0.6666666666666666,0.6666666666666666,6,300
758000,0,5,756234.6666666666,22192.333333333332,1,1,3,300
759000,0,9,757405.7142857143,34693.57142857143,0.8571428571428571,0.8571428571428571,7,300
760000,0,9,758293.1666666666,29138.666666666668,1,1,6,300
761000,0,14,759121.7272727273,29949.727272727272,0.9090909090909091,0.9090909090909091,11,300
762000,0,16,760155.5,28427,1,1,14,300
