tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
5000,101,180,1.9702970297029703,340.6829268292683,0.019801980198019802,0.5182926829268293,500,Infinity,-1,0,-1,180,0,1.7439024390243902,0,0.02702702702702703,0.029411764705882353,5,4.864864864864865,4.9411764705882355,NaN,NaN,NaN,NaN,NaN,NaN
10000,100,244,2,336.0447154471545,0.08,0.3983739837398374,500,Infinity,-1,0.02459016393442623,-1,244,0,2.2357723577235773,0.06060606060606061,0.12121212121212122,0.058823529411764705,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
15000,101,249,2,335.668016194332,0.18811881188118812,0.3724696356275304,500,Infinity,-1,0,-1,249,0,2.3036437246963564,0.16,0.2558139534883721,0.12121212121212122,5,4.976744186046512,5,NaN,NaN,NaN,NaN,NaN,NaN
20000,100,246,2,335.0242914979757,0.15,0.3724696356275304,500,Infinity,-1,0.0040650406504065045,-1,246,0,2.3522267206477734,0.125,0.1590909090909091,0.16666666666666666,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
25000,100,262,2,339.2480916030534,0.24,0.3549618320610687,500,Infinity,-1,0,-1,262,0,2.366412213740458,0.2777777777777778,0.25,0.19444444444444445,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
30000,101,227,1.99009900990099,340.90497737556564,0.26732673267326734,0.4117647058823529,500,Infinity,-1,0,-1,227,0,1.9728506787330318,0.23684210526315788,0.25925925925925924,0.3055555555555556,5,5,4.861111111111111,NaN,NaN,NaN,NaN,NaN,NaN
35000,100,240,2,340.5813008130081,0.26,0.4065040650406504,500,Infinity,-1,0,-1,240,0,2.292682926829268,0.3142857142857143,0.17391304347826086,0.2619047619047619,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
40000,101,249,1.9801980198019802,334.4457831325301,0.2871287128712871,0.3855421686746988,500,Infinity,-1,0.004016064257028112,-1,249,0,2.2690763052208833,0.25,0.3076923076923077,0.3,4.90625,5,5,NaN,NaN,NaN,NaN,NaN,NaN
45000,100,235,2,334.4206008583691,0.35,0.41201716738197425,500,Infinity,-1,0,-1,235,0,2.1416309012875536,0.2682926829268293,0.3548387096774194,0.4642857142857143,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
50000,100,236,2,335.47058823529414,0.37,0.40336134453781514,500,Infinity,-1,0,-1,236,0,2.26890756302521,0.35135135135135137,0.25,0.4857142857142857,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
55000,101,248,2,336.45081967213116,0.48514851485148514,0.3770491803278688,500,Infinity,-1,0.024193548387096774,-1,248,0,2.1885245901639343,0.48484848484848486,0.4883720930232558,0.48,5,4.906976744186046,5,NaN,NaN,NaN,NaN,NaN,NaN
60000,100,238,2,338.3817427385892,0.41,0.4107883817427386,500,Infinity,-1,0.01680672268907563,-1,238,0,2.228215767634855,0.4074074074074074,0.4146341463414634,0.40625,5,5,4.96875,NaN,NaN,NaN,NaN,NaN,NaN
65000,101,259,1.99009900990099,341.09375,0.40594059405940597,0.37109375,500,Infinity,-1,0.007722007722007722,-1,259,0,2.328125,0.3448275862068966,0.48484848484848486,0.38461538461538464,5,5,4.897435897435898,NaN,NaN,NaN,NaN,NaN,NaN
70000,100,198,2,333.57635467980293,0.52,0.5073891625615764,500,Infinity,-1,0,-1,198,0,1.9507389162561577,0.5,0.5625,0.5,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
75000,100,243,2,338.18672199170123,0.51,0.3900414937759336,500,Infinity,-1,0,-1,243,0,2.128630705394191,0.5,0.5294117647058824,0.5,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
