tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
5000,247,247,4.016194331983805,507.52272727272725,0.03643724696356275,0.4318181818181818,500,Infinity,-1,0.004048582995951417,-1,247,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.949367088607595,7,6.988372093023256,0.0379746835443038,0.04878048780487805,0.023255813953488372
10000,247,247,4.016194331983805,507.42971887550203,0.06072874493927125,0.3534136546184739,500,Infinity,-1,0,-1,247,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.961538461538462,6.988888888888889,6.962025316455696,0.07692307692307693,0.044444444444444446,0.06329113924050633
15000,247,247,4.012145748987854,509.6178861788618,0.12955465587044535,0.4146341463414634,500,Infinity,-1,0,-1,247,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.929411764705883,6.95,6.926829268292683,0.1411764705882353,0.125,0.12195121951219512
20000,247,247,4.0242914979757085,510.03643724696354,0.145748987854251,0.3562753036437247,500,Infinity,-1,0,-1,247,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.963855421686747,6.96,6.921348314606742,0.12048192771084337,0.17333333333333334,0.14606741573033707
25000,247,247,4.02834008097166,509.37751004016064,0.21862348178137653,0.37751004016064255,500,Infinity,-1,0,-1,247,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.944444444444445,6.894117647058824,6.9,0.1527777777777778,0.27058823529411763,0.2222222222222222
30000,247,247,4.032388663967612,510.56048387096774,0.2834008097165992,0.41935483870967744,500,Infinity,-1,0,-1,247,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.88,6.865671641791045,6.904761904761905,0.24,0.2835820895522388,0.3142857142857143
35000,247,246,4.016260162601626,511.89344262295083,0.2967479674796748,0.430327868852459,500,Infinity,-1,0,-1,246,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.802083333333333,6.954022988505747,6.873015873015873,0.3645833333333333,0.1839080459770115,0.3492063492063492
40000,246,247,4.016194331983805,506.14574898785423,0.3684210526315789,0.41700404858299595,500,Infinity,-1,0.004048582995951417,-1,247,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.895348837209302,6.869565217391305,6.891304347826087,0.3488372093023256,0.34782608695652173,0.40217391304347827
45000,247,247,4.012145748987854,508.06451612903226,0.3481781376518219,0.38306451612903225,500,Infinity,-1,0.004048582995951417,-1,247,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.809523809523809,6.8765432098765435,6.7926829268292686,0.3333333333333333,0.32098765432098764,0.3902439024390244
50000,247,247,4.020242914979757,512.3048780487804,0.3724696356275304,0.42276422764227645,500,Infinity,-1,0,-1,247,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.883116883116883,6.904761904761905,6.8604651162790695,0.3116883116883117,0.34523809523809523,0.45348837209302323
55000,247,247,4.020242914979757,507.13765182186233,0.4008097165991903,0.4291497975708502,500,Infinity,-1,0,-1,247,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.831460674157303,6.881578947368421,6.804878048780488,0.3595505617977528,0.34210526315789475,0.5
60000,247,247,4.020242914979757,511.36546184738955,0.4777327935222672,0.41365461847389556,500,Infinity,-1,0,-1,247,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.795180722891566,6.9,6.857142857142857,0.5421686746987951,0.3875,0.5
65000,247,247,4.020242914979757,512.170731707317,0.4574898785425101,0.3861788617886179,500,Infinity,-1,0,-1,247,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.842105263157895,6.903614457831325,6.75,0.40789473684210525,0.4819277108433735,0.4772727272727273
70000,247,247,4.012145748987854,504.9673469387755,0.5344129554655871,0.3795918367346939,500,Infinity,-1,0,-1,247,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.781609195402299,6.866666666666666,6.870588235294117,0.5632183908045977,0.44,0.5882352941176471
75000,247,246,4.024390243902439,505.8709677419355,0.5609756097560976,0.3387096774193548,500,Infinity,-1,0,-1,246,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.644736842105263,6.836734693877551,6.722222222222222,0.631578947368421,0.47959183673469385,0.5972222222222222
80000,246,247,4.012145748987854,504.9959183673469,0.5020242914979757,0.37551020408163266,500,Infinity,-1,0.004048582995951417,-1,247,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.769230769230769,6.840909090909091,6.753086419753086,0.5384615384615384,0.4772727272727273,0.49382716049382713
85000,247,247,4,591.5491803278688,0.5748987854251012,0.4098360655737705,500,Infinity,-1,0,-1,247,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.784810126582278,6.780487804878049,6.848837209302325,0.620253164556962,0.6463414634146342,0.46511627906976744
90000,247,247,4,596.328,0.4939271255060729,0.372,500,Infinity,-1,0,-1,247,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.855555555555555,6.7875,6.87012987012987,0.4888888888888889,0.4875,0.5064935064935064
95000,247,247,4,598.4115226337449,0.5748987854251012,0.3868312757201646,500,Infinity,-1,0,-1,247,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.804878048780488,6.7625,6.811764705882353,0.6219512195121951,0.575,0.5294117647058824
100000,247,247,4,598.3279352226721,0.5668016194331984,0.4251012145748988,500,Infinity,-1,0,-1,247,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.7625,6.707865168539326,6.833333333333333,0.5,0.6179775280898876,0.5769230769230769
105000,247,247,4,596.4637096774194,0.5384615384615384,0.45564516129032256,500,Infinity,-1,0,-1,247,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.887640449438202,6.7974683544303796,6.8354430379746836,0.5393258426966292,0.569620253164557,0.5063291139240507
110000,247,247,3.9959514170040484,596.497975708502,0.5910931174089069,0.4251012145748988,500,Infinity,-1,0,-1,247,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.786666666666667,6.736263736263736,6.839506172839506,0.64,0.6483516483516484,0.48148148148148145
115000,247,246,4,593.6367346938775,0.5528455284552846,0.39183673469387753,500,Infinity,-1,0,-1,246,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.848837209302325,6.862068965517241,6.794520547945205,0.5930232558139535,0.47126436781609193,0.6027397260273972
120000,246,247,3.9919028340080973,595.608870967742,0.582995951417004,0.38306451612903225,500,Infinity,-1,0.004048582995951417,-1,247,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.845070422535211,6.67741935483871,6.795180722891566,0.5070422535211268,0.6559139784946236,0.5662650602409639
125000,247,247,4,599.6122448979592,0.5020242914979757,0.3877551020408163,500,Infinity,-1,0,-1,247,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.857142857142857,6.8604651162790695,6.753246753246753,0.4880952380952381,0.46511627906976744,0.5584415584415584
130000,247,247,4,596.8467741935484,0.5060728744939271,0.3709677419354839,500,Infinity,-1,0,-1,247,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.75,6.868131868131868,6.911764705882353,0.6136363636363636,0.42857142857142855,0.47058823529411764
135000,247,247,4,595.3654618473896,0.5303643724696356,0.39357429718875503,500,Infinity,-1,0,-1,247,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.8375,6.747126436781609,6.825,0.575,0.5402298850574713,0.475
140000,247,247,4,599.4024390243902,0.6032388663967612,0.45528455284552843,500,Infinity,-1,0,-1,247,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.795180722891566,6.761363636363637,6.75,0.5301204819277109,0.6363636363636364,0.6447368421052632
145000,247,247,4,601.7357723577236,0.4939271255060729,0.3861788617886179,500,Infinity,-1,0,-1,247,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.905405405405405,6.8375,6.838709677419355,0.47297297297297297,0.5125,0.4946236559139785
150000,247,247,3.9959514170040484,594.8623481781376,0.5465587044534413,0.4331983805668016,500,Infinity,-1,0,-1,247,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.746835443037975,6.755813953488372,6.841463414634147,0.5063291139240507,0.5581395348837209,0.573170731707317
155000,247,246,4,600.6315789473684,0.5813008130081301,0.38866396761133604,500,Infinity,-1,0,-1,246,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.761904761904762,6.810126582278481,6.831325301204819,0.5119047619047619,0.6075949367088608,0.6265060240963856
160000,246,247,3.9919028340080973,602.1951219512196,0.6194331983805668,0.3861788617886179,500,Infinity,-1,0.004048582995951417,-1,247,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.761904761904762,6.769230769230769,6.8352941176470585,0.6190476190476191,0.5897435897435898,0.6470588235294118
165000,247,247,4,597.0119521912351,0.5101214574898786,0.35856573705179284,500,Infinity,-1,0,-1,247,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.8441558441558445,6.841463414634147,6.818181818181818,0.5454545454545454,0.4878048780487805,0.5
170000,247,247,4,596.4530612244898,0.582995951417004,0.3877551020408163,500,Infinity,-1,0,-1,247,0,1,NaN,NaN,NaN,NaN,NaN,NaN,6.623529411764705,6.857142857142857,6.794871794871795,0.6352941176470588,0.5952380952380952,0.5128205128205128
